mesh_id	mesh_term	drug_name	p_count	c_count
D000067877	Autism Spectrum Disorder	dexamethasone	1	0
D000067877	Autism Spectrum Disorder	chlorpromazine	1	0
D000067877	Autism Spectrum Disorder	mk-801	1	0
D000067877	Autism Spectrum Disorder	mtep	1	0
D000067877	Autism Spectrum Disorder	sodium valproate	1	0
D000067877	Autism Spectrum Disorder	torasemide	1	0
D000068079	Motor Disorders	growth hormone	1	0
D000068884	Immunosenescence	d-deprenyl	1	0
D000068884	Immunosenescence	l-deprenyl	1	0
D000068884	Immunosenescence	granulocyte-macrophage colony stimulating factor	1	0
D000068884	Immunosenescence	interleukin-7	1	0
D000068884	Immunosenescence	melatonin	1	0
D000069279	Drug Resistant Epilepsy	dexamethasone	1	0
D000069279	Drug Resistant Epilepsy	sodium valproate	1	0
D000069279	Drug Resistant Epilepsy	lamotrigine	6	0
D000069279	Drug Resistant Epilepsy	flunarizine	1	0
D000069279	Drug Resistant Epilepsy	phenobarbital	3	0
D000069279	Drug Resistant Epilepsy	gabapentin	2	0
D000069279	Drug Resistant Epilepsy	rufinamide	1	0
D000069279	Drug Resistant Epilepsy	clonazepam	2	0
D000069279	Drug Resistant Epilepsy	ezogabine	2	0
D000069279	Drug Resistant Epilepsy	lacosamide	2	0
D000069279	Drug Resistant Epilepsy	tiagabine	1	0
D000069279	Drug Resistant Epilepsy	valproate	2	0
D000069279	Drug Resistant Epilepsy	phenytoin	2	0
D000069279	Drug Resistant Epilepsy	topiramate	3	0
D000069279	Drug Resistant Epilepsy	levetiracetam	3	0
D000069279	Drug Resistant Epilepsy	clobazam	2	0
D000069279	Drug Resistant Epilepsy	carbamazepine	2	0
D000069279	Drug Resistant Epilepsy	eslicarbazepine	1	0
D000069279	Drug Resistant Epilepsy	ethosuximide	2	0
D000069279	Drug Resistant Epilepsy	tp-315	1	0
D000069279	Drug Resistant Epilepsy	tp-10	1	0
D000069279	Drug Resistant Epilepsy	everolimus	1	0
D000069279	Drug Resistant Epilepsy	perampanel	2	0
D000069279	Drug Resistant Epilepsy	valproic acid	1	0
D000069279	Drug Resistant Epilepsy	oxcarbazepine	1	0
D000069279	Drug Resistant Epilepsy	pregabalin	1	0
D000069279	Drug Resistant Epilepsy	cyclosporin a	1	0
D000069279	Drug Resistant Epilepsy	gyki 52466	1	0
D000069281	Autoimmune Hypophysitis	rosoxacin	1	0
D000069836	Degloving Injuries	sivelestat	1	0
D000069836	Degloving Injuries	pentoxifylline	1	0
D000070598	Anterior Cruciate Ligament Injuries	slit guidance ligand 3	1	0
D000070598	Anterior Cruciate Ligament Injuries	vascular endothelial growth factor	1	0
D000070598	Anterior Cruciate Ligament Injuries	simvastatin	1	0
D000070598	Anterior Cruciate Ligament Injuries	collagen	1	0
D000070625	Brain Injuries, Diffuse	1-aminoindan-1, 5-dicarboxylic acid	1	0
D000070627	Chronic Traumatic Encephalopathy	acy-738	1	0
D000070627	Chronic Traumatic Encephalopathy	lithium chloride	1	0
D000070627	Chronic Traumatic Encephalopathy	ros	1	0
D000070627	Chronic Traumatic Encephalopathy	choline alfoscerate	1	0
D000070627	Chronic Traumatic Encephalopathy	och	1	0
D000070627	Chronic Traumatic Encephalopathy	nilvadipine	1	0
D000070627	Chronic Traumatic Encephalopathy	amitriptyline	1	1
D000070627	Chronic Traumatic Encephalopathy	capsazepine	1	0
D000070627	Chronic Traumatic Encephalopathy	gw4869	1	0
D000070636	Rotator Cuff Injuries	egf	1	0
D000070636	Rotator Cuff Injuries	recombinant human insulin-like growth factor 1	1	0
D000070636	Rotator Cuff Injuries	metformin	1	0
D000070636	Rotator Cuff Injuries	bupivacaine	1	0
D000070636	Rotator Cuff Injuries	licofelone	1	0
D000070636	Rotator Cuff Injuries	simvastatin	1	0
D000070636	Rotator Cuff Injuries	rapamycin	1	0
D000070636	Rotator Cuff Injuries	botulinum toxin a	1	0
D000070636	Rotator Cuff Injuries	sb431542	1	0
D000070636	Rotator Cuff Injuries	sb203580	1	0
D000070636	Rotator Cuff Injuries	icariin	1	0
D000070636	Rotator Cuff Injuries	imatinib mesylate	1	0
D000070636	Rotator Cuff Injuries	sodium nitroprusside	1	0
D000070636	Rotator Cuff Injuries	transforming growth factor beta 1	1	0
D000070636	Rotator Cuff Injuries	hydroxyapatite	1	0
D000070636	Rotator Cuff Injuries	nandrolone	1	0
D000070636	Rotator Cuff Injuries	mesenchymal stem cells	1	0
D000070636	Rotator Cuff Injuries	fty720	1	0
D000070636	Rotator Cuff Injuries	calpeptin	1	0
D000070636	Rotator Cuff Injuries	sildenafil	1	0
D000070636	Rotator Cuff Injuries	vitamin c	1	0
D000070636	Rotator Cuff Injuries	kartogenin	2	0
D000070636	Rotator Cuff Injuries	ibuprofen	1	0
D000070636	Rotator Cuff Injuries	amibegron	1	0
D000070636	Rotator Cuff Injuries	fibrin glue	1	0
D000070636	Rotator Cuff Injuries	noggin	1	0
D000070636	Rotator Cuff Injuries	farnesol	1	0
D000070636	Rotator Cuff Injuries	achp	1	0
D000070636	Rotator Cuff Injuries	chitosan	1	0
D000070642	Brain Injuries, Traumatic	stem cell factor	2	0
D000070642	Brain Injuries, Traumatic	granulocyte colony-stimulating factor	3	0
D000070642	Brain Injuries, Traumatic	c1 esterase inhibitor	2	0
D000070642	Brain Injuries, Traumatic	np1	1	0
D000070642	Brain Injuries, Traumatic	dimethyl fumarate	1	0
D000070642	Brain Injuries, Traumatic	deferoxamine	3	0
D000070642	Brain Injuries, Traumatic	minocycline	13	1
D000070642	Brain Injuries, Traumatic	(2r,6r)-hnk	1	0
D000070642	Brain Injuries, Traumatic	het0016	4	0
D000070642	Brain Injuries, Traumatic	sst2	1	0
D000070642	Brain Injuries, Traumatic	il-33	3	0
D000070642	Brain Injuries, Traumatic	metformin	3	0
D000070642	Brain Injuries, Traumatic	rosiglitazone	3	0
D000070642	Brain Injuries, Traumatic	l-serine	1	0
D000070642	Brain Injuries, Traumatic	plx5622	3	0
D000070642	Brain Injuries, Traumatic	candesartan	4	0
D000070642	Brain Injuries, Traumatic	trifluoperazine	1	0
D000070642	Brain Injuries, Traumatic	fk506	2	0
D000070642	Brain Injuries, Traumatic	dexamethasone	13	0
D000070642	Brain Injuries, Traumatic	pmx205	2	0
D000070642	Brain Injuries, Traumatic	sulfo-n-succinimidyl oleate	1	0
D000070642	Brain Injuries, Traumatic	propofol	3	0
D000070642	Brain Injuries, Traumatic	hydroxysafflor yellow a	4	0
D000070642	Brain Injuries, Traumatic	az11645373	1	0
D000070642	Brain Injuries, Traumatic	5-bdbd	1	0
D000070642	Brain Injuries, Traumatic	troxerutin	1	0
D000070642	Brain Injuries, Traumatic	pnt001	1	0
D000070642	Brain Injuries, Traumatic	pioglitazone	8	1
D000070642	Brain Injuries, Traumatic	tak-242	3	0
D000070642	Brain Injuries, Traumatic	vorinostat	1	0
D000070642	Brain Injuries, Traumatic	quercetin	3	0
D000070642	Brain Injuries, Traumatic	dasatinib	1	0
D000070642	Brain Injuries, Traumatic	amlodipine	1	0
D000070642	Brain Injuries, Traumatic	interleukin-4	2	0
D000070642	Brain Injuries, Traumatic	erythropoietin	20	0
D000070642	Brain Injuries, Traumatic	acetyl-l-carnitine	1	0
D000070642	Brain Injuries, Traumatic	buprenorphine	4	1
D000070642	Brain Injuries, Traumatic	c-176	1	0
D000070642	Brain Injuries, Traumatic	2'3'-cgamp	1	0
D000070642	Brain Injuries, Traumatic	kira6	1	0
D000070642	Brain Injuries, Traumatic	cl-amidine	1	0
D000070642	Brain Injuries, Traumatic	alpha-methyltyrosine	1	0
D000070642	Brain Injuries, Traumatic	bumetanide	2	0
D000070642	Brain Injuries, Traumatic	baclofen	1	0
D000070642	Brain Injuries, Traumatic	cgp35348	1	0
D000070642	Brain Injuries, Traumatic	sb-612111	1	0
D000070642	Brain Injuries, Traumatic	r13	2	0
D000070642	Brain Injuries, Traumatic	ru486	2	0
D000070642	Brain Injuries, Traumatic	progesterone	24	0
D000070642	Brain Injuries, Traumatic	aoaa	1	0
D000070642	Brain Injuries, Traumatic	na2s	1	0
D000070642	Brain Injuries, Traumatic	exendin-4	5	0
D000070642	Brain Injuries, Traumatic	wnt3a	2	0
D000070642	Brain Injuries, Traumatic	sodium hydrosulfide	1	0
D000070642	Brain Injuries, Traumatic	xav939	1	0
D000070642	Brain Injuries, Traumatic	liproxstatin-1	1	0
D000070642	Brain Injuries, Traumatic	notoginsenoside r1	1	0
D000070642	Brain Injuries, Traumatic	myricetin	1	0
D000070642	Brain Injuries, Traumatic	p7c3-a20	3	0
D000070642	Brain Injuries, Traumatic	nicorandil	1	0
D000070642	Brain Injuries, Traumatic	sb332235	1	0
D000070642	Brain Injuries, Traumatic	disulfiram	1	0
D000070642	Brain Injuries, Traumatic	glycyrrhizin	2	0
D000070642	Brain Injuries, Traumatic	dinaciclib	1	0
D000070642	Brain Injuries, Traumatic	roscovitine	2	0
D000070642	Brain Injuries, Traumatic	n-acetylcysteine	9	0
D000070642	Brain Injuries, Traumatic	polyethylene glycol	1	0
D000070642	Brain Injuries, Traumatic	minozac	1	0
D000070642	Brain Injuries, Traumatic	8-oh-dpat	1	0
D000070642	Brain Injuries, Traumatic	gw9662	2	0
D000070642	Brain Injuries, Traumatic	haloperidol	2	0
D000070642	Brain Injuries, Traumatic	risperidone	1	0
D000070642	Brain Injuries, Traumatic	kb-r7943	1	0
D000070642	Brain Injuries, Traumatic	eipa	1	0
D000070642	Brain Injuries, Traumatic	amiloride	1	0
D000070642	Brain Injuries, Traumatic	dicyclomine	1	0
D000070642	Brain Injuries, Traumatic	methylphenidate	2	1
D000070642	Brain Injuries, Traumatic	sodium pyruvate	4	0
D000070642	Brain Injuries, Traumatic	basic fibroblast growth factor	2	0
D000070642	Brain Injuries, Traumatic	saline	6	1
D000070642	Brain Injuries, Traumatic	nicotinamide	4	0
D000070642	Brain Injuries, Traumatic	simvastatin	11	1
D000070642	Brain Injuries, Traumatic	nnz-2566	1	0
D000070642	Brain Injuries, Traumatic	hemodilution	1	0
D000070642	Brain Injuries, Traumatic	cog1410	4	0
D000070642	Brain Injuries, Traumatic	nim811	1	0
D000070642	Brain Injuries, Traumatic	cyclosporin a	3	0
D000070642	Brain Injuries, Traumatic	tissue plasminogen activator	2	0
D000070642	Brain Injuries, Traumatic	gsno	5	0
D000070642	Brain Injuries, Traumatic	hypertonic saline	3	0
D000070642	Brain Injuries, Traumatic	activated protein c	1	0
D000070642	Brain Injuries, Traumatic	d-cycloserine	1	0
D000070642	Brain Injuries, Traumatic	mk-801	2	0
D000070642	Brain Injuries, Traumatic	sodium nitroprusside	1	0
D000070642	Brain Injuries, Traumatic	inh2bp	1	0
D000070642	Brain Injuries, Traumatic	ino-1001	2	0
D000070642	Brain Injuries, Traumatic	3-aminobenzamide	1	0
D000070642	Brain Injuries, Traumatic	l-2286	1	0
D000070642	Brain Injuries, Traumatic	1,5-isoquinolinediol	1	0
D000070642	Brain Injuries, Traumatic	suberoylanilide hydroxamic acid	1	0
D000070642	Brain Injuries, Traumatic	valproate	1	0
D000070642	Brain Injuries, Traumatic	curcumin	1	0
D000070642	Brain Injuries, Traumatic	dmso	1	0
D000070642	Brain Injuries, Traumatic	cyclosporine	2	0
D000070642	Brain Injuries, Traumatic	ethyl pyruvate	4	0
D000070642	Brain Injuries, Traumatic	thymosin beta 4	2	0
D000070642	Brain Injuries, Traumatic	guanfacine	1	0
D000070642	Brain Injuries, Traumatic	heat	1	0
D000070642	Brain Injuries, Traumatic	prazosin	1	0
D000070642	Brain Injuries, Traumatic	minoxidil	1	0
D000070642	Brain Injuries, Traumatic	melatonin	11	0
D000070642	Brain Injuries, Traumatic	t0070907	1	0
D000070642	Brain Injuries, Traumatic	tert-butylhydroquinone	2	0
D000070642	Brain Injuries, Traumatic	carbamylated erythropoietin	1	0
D000070642	Brain Injuries, Traumatic	u-83836e	2	0
D000070642	Brain Injuries, Traumatic	zj-43	1	0
D000070642	Brain Injuries, Traumatic	pgi-02776	3	0
D000070642	Brain Injuries, Traumatic	amantadine hydrochloride	1	1
D000070642	Brain Injuries, Traumatic	dibucaine	1	0
D000070642	Brain Injuries, Traumatic	l-arginine	1	0
D000070642	Brain Injuries, Traumatic	sin-1	1	0
D000070642	Brain Injuries, Traumatic	nam	1	0
D000070642	Brain Injuries, Traumatic	coenzyme q10	1	0
D000070642	Brain Injuries, Traumatic	lithium chloride	1	0
D000070642	Brain Injuries, Traumatic	sb-216763	1	0
D000070642	Brain Injuries, Traumatic	wogonin	2	0
D000070642	Brain Injuries, Traumatic	alpha-difluoromethylornithine	1	0
D000070642	Brain Injuries, Traumatic	d-jnki1	1	0
D000070642	Brain Injuries, Traumatic	glutathione	1	0
D000070642	Brain Injuries, Traumatic	propranolol	2	1
D000070642	Brain Injuries, Traumatic	mtep	1	0
D000070642	Brain Injuries, Traumatic	(rs)-2-chloro-5-hydroxyphenylglycine	1	0
D000070642	Brain Injuries, Traumatic	gp91ds-tat	1	0
D000070642	Brain Injuries, Traumatic	apocynin	1	0
D000070642	Brain Injuries, Traumatic	cr8	2	0
D000070642	Brain Injuries, Traumatic	dimethyl sulfoxide	3	0
D000070642	Brain Injuries, Traumatic	su5416	1	0
D000070642	Brain Injuries, Traumatic	neuregulin-1	1	0
D000070642	Brain Injuries, Traumatic	brilliant blue g	1	0
D000070642	Brain Injuries, Traumatic	phenylephrine	4	0
D000070642	Brain Injuries, Traumatic	indomethacin	1	0
D000070642	Brain Injuries, Traumatic	rolipram	3	0
D000070642	Brain Injuries, Traumatic	s-(+)-rolipram	1	0
D000070642	Brain Injuries, Traumatic	ro 20-1724	1	0
D000070642	Brain Injuries, Traumatic	hextend	2	0
D000070642	Brain Injuries, Traumatic	r-715	1	0
D000070642	Brain Injuries, Traumatic	salidroside	1	0
D000070642	Brain Injuries, Traumatic	phosphate buffered saline	1	0
D000070642	Brain Injuries, Traumatic	nacl	1	0
D000070642	Brain Injuries, Traumatic	levosimendan	1	0
D000070642	Brain Injuries, Traumatic	vitamin d3	3	0
D000070642	Brain Injuries, Traumatic	sp 600125	2	0
D000070642	Brain Injuries, Traumatic	u 0126	3	0
D000070642	Brain Injuries, Traumatic	glucagon	1	0
D000070642	Brain Injuries, Traumatic	cannabidiol	3	0
D000070642	Brain Injuries, Traumatic	gw3965	1	0
D000070642	Brain Injuries, Traumatic	dopamine	3	0
D000070642	Brain Injuries, Traumatic	ibuprofen	1	0
D000070642	Brain Injuries, Traumatic	celecoxib	1	0
D000070642	Brain Injuries, Traumatic	methamphetamine	2	0
D000070642	Brain Injuries, Traumatic	etanercept	3	0
D000070642	Brain Injuries, Traumatic	edaravone	4	0
D000070642	Brain Injuries, Traumatic	doxycycline	2	0
D000070642	Brain Injuries, Traumatic	xjb-5-131	1	0
D000070642	Brain Injuries, Traumatic	tsg-6	1	0
D000070642	Brain Injuries, Traumatic	anakinra	3	0
D000070642	Brain Injuries, Traumatic	sb-3ct	1	0
D000070642	Brain Injuries, Traumatic	morpholinurea-leucine-homophenylalanine-vinylsulfone-phenyl	1	0
D000070642	Brain Injuries, Traumatic	bpv	1	0
D000070642	Brain Injuries, Traumatic	anandamide	1	0
D000070642	Brain Injuries, Traumatic	nahs	2	0
D000070642	Brain Injuries, Traumatic	al-8810	1	0
D000070642	Brain Injuries, Traumatic	amantadine	3	1
D000070642	Brain Injuries, Traumatic	phenoxybenzamine	1	0
D000070642	Brain Injuries, Traumatic	valproic acid	11	0
D000070642	Brain Injuries, Traumatic	resveratrol	2	0
D000070642	Brain Injuries, Traumatic	topiramate	2	0
D000070642	Brain Injuries, Traumatic	b3	1	0
D000070642	Brain Injuries, Traumatic	cystatin c	1	0
D000070642	Brain Injuries, Traumatic	raloxifene	2	0
D000070642	Brain Injuries, Traumatic	tamoxifen	1	0
D000070642	Brain Injuries, Traumatic	estradiol	3	0
D000070642	Brain Injuries, Traumatic	vitamin c	1	0
D000070642	Brain Injuries, Traumatic	n-acetylcysteine amide	5	0
D000070642	Brain Injuries, Traumatic	pravastatin	1	0
D000070642	Brain Injuries, Traumatic	lovastatin	1	0
D000070642	Brain Injuries, Traumatic	atorvastatin	2	0
D000070642	Brain Injuries, Traumatic	rosuvastatin	2	0
D000070642	Brain Injuries, Traumatic	c1-inhibitor	1	0
D000070642	Brain Injuries, Traumatic	recombinant human growth hormone	1	1
D000070642	Brain Injuries, Traumatic	sodium butyrate	2	0
D000070642	Brain Injuries, Traumatic	bgp-15	1	0
D000070642	Brain Injuries, Traumatic	celastrol	1	0
D000070642	Brain Injuries, Traumatic	sr49059	1	0
D000070642	Brain Injuries, Traumatic	7,8-dihydroxyflavone	3	0
D000070642	Brain Injuries, Traumatic	liraglutide	3	0
D000070642	Brain Injuries, Traumatic	sc560	1	0
D000070642	Brain Injuries, Traumatic	sr144528	1	0
D000070642	Brain Injuries, Traumatic	jwh-133	1	0
D000070642	Brain Injuries, Traumatic	naproxen	1	0
D000070642	Brain Injuries, Traumatic	atb-346	1	0
D000070642	Brain Injuries, Traumatic	win55,212-2	1	0
D000070642	Brain Injuries, Traumatic	17-aag	1	0
D000070642	Brain Injuries, Traumatic	berberine	1	0
D000070642	Brain Injuries, Traumatic	diazepam	1	0
D000070642	Brain Injuries, Traumatic	granulocyte-macrophage colony-stimulating factor	1	0
D000070642	Brain Injuries, Traumatic	carnosic acid	1	0
D000070642	Brain Injuries, Traumatic	valganciclovir	1	0
D000070642	Brain Injuries, Traumatic	donepezil	2	0
D000070642	Brain Injuries, Traumatic	3,6'-dithiothalidomide	1	0
D000070642	Brain Injuries, Traumatic	pnu	1	0
D000070642	Brain Injuries, Traumatic	phtpp	1	0
D000070642	Brain Injuries, Traumatic	mpp	1	0
D000070642	Brain Injuries, Traumatic	estrogen	1	0
D000070642	Brain Injuries, Traumatic	pregabalin	1	0
D000070642	Brain Injuries, Traumatic	mw151	2	0
D000070642	Brain Injuries, Traumatic	hpi201	1	0
D000070642	Brain Injuries, Traumatic	dihydroflavonol	1	0
D000070642	Brain Injuries, Traumatic	am 630	1	0
D000070642	Brain Injuries, Traumatic	am 281	1	0
D000070642	Brain Injuries, Traumatic	pf3845	1	0
D000070642	Brain Injuries, Traumatic	cyclosporine a	1	0
D000070642	Brain Injuries, Traumatic	aspirin-triggered resolvin d1	1	0
D000070642	Brain Injuries, Traumatic	resolvin e1	1	0
D000070642	Brain Injuries, Traumatic	rhamnetin	1	0
D000070642	Brain Injuries, Traumatic	agmatine	1	0
D000070642	Brain Injuries, Traumatic	glycyrrhizic acid	1	0
D000070642	Brain Injuries, Traumatic	vgx-1027	1	0
