nctid	nct_title	nct_link	status
NCT00004124	S9921, Hormone Therapy With or Without Mitoxantrone and Prednisone in Patients Who Have Undergone Radical Prostatectomy for Prostate Cancer	https://clinicaltrials.gov/study/NCT00004124	COMPLETED
NCT00004228	Combination Chemotx in Treating Children or Adolescents With Newly Diagnosed Stg III or Stg IV Lymphoblastic Lymphoma	https://clinicaltrials.gov/study/NCT00004228	COMPLETED
NCT00004562	Occluded Artery Trial (OAT)	https://clinicaltrials.gov/study/NCT00004562	COMPLETED
NCT00004563	Scleroderma Lung Disease	https://clinicaltrials.gov/study/NCT00004563	COMPLETED
NCT00004635	Thalidomide for the Treatment of Hormone-Dependent Prostate Cancer	https://clinicaltrials.gov/study/NCT00004635	COMPLETED
NCT00004978	An International Study to Evaluate Recombinant Interleukin-2 in HIV Positive Patients Taking Anti-retroviral Therapy	https://clinicaltrials.gov/study/NCT00004978	COMPLETED
NCT00005044	Hormone Therapy and Radiation Therapy in Treating Patients With Prostate Cancer	https://clinicaltrials.gov/study/NCT00005044	COMPLETED
NCT00005669	Metformin to Treat Obesity in Children With Insulin Resistance	https://clinicaltrials.gov/study/NCT00005669	COMPLETED
NCT00005879	LY353381 in Preventing Breast Cancer in Women With Hyperplasia	https://clinicaltrials.gov/study/NCT00005879	COMPLETED
NCT00005901	Pamidronate to Treat Osteogenesis Imperfecta in Children	https://clinicaltrials.gov/study/NCT00005901	COMPLETED
NCT00005908	Primary Chemotherapy With Docetaxel-Capecitabine and Doxorubicin-Cyclophosphamide in Breast Cancer	https://clinicaltrials.gov/study/NCT00005908	COMPLETED
NCT00005937	Antithymocyte Globulin and Cyclosporine to Treat Myelodysplasia	https://clinicaltrials.gov/study/NCT00005937	COMPLETED
NCT00006101	Eflornithine in Treating Patients At High Risk of Developing Prostate Cancer	https://clinicaltrials.gov/study/NCT00006101	COMPLETED
NCT00006110	Multimodality Treatment for Women With Stage II, Stage III, or Stage IV Breast Cancer	https://clinicaltrials.gov/study/NCT00006110	COMPLETED
NCT00006170	Bupropion and Weight Control for Smoking Cessation - 1	https://clinicaltrials.gov/study/NCT00006170	COMPLETED
NCT00006178	Sirolimus and Thymoglobulin to Prevent Kidney Transplant Rejection	https://clinicaltrials.gov/study/NCT00006178	COMPLETED
NCT00006184	Chemotherapy, Stem Cell Transplantation and Donor and Patient Vaccination for Treatment of Multiple Myeloma	https://clinicaltrials.gov/study/NCT00006184	COMPLETED
NCT00006392	S0000 Selenium and Vitamin E in Preventing Prostate Cancer	https://clinicaltrials.gov/study/NCT00006392	COMPLETED
NCT00006400	Hydroxyurea to Prevent Organ Damage in Children With Sickle Cell Anemia	https://clinicaltrials.gov/study/NCT00006400	COMPLETED
NCT00006489	Treatment for Alcoholism and Post-Traumatic Stress Disorder (Naltrexone)	https://clinicaltrials.gov/study/NCT00006489	COMPLETED
NCT00006604	Atazanavir Used in Combination With Other Anti-HIV Drugs in HIV-Infected Infants, Children, and Adolescents	https://clinicaltrials.gov/study/NCT00006604	COMPLETED
NCT00007345	Depsipeptide to Treat Patients With Cutaneous T-Cell Lymphoma and Peripheral T-Cell Lymphoma	https://clinicaltrials.gov/study/NCT00007345	COMPLETED
NCT00008138	S0009 Combination Chemo and Surgery in Stage III or Stage IV Ovarian Cancer	https://clinicaltrials.gov/study/NCT00008138	COMPLETED
NCT00009737	A Study of Xeloda (Capecitabine) Compared With 5-Fluorouracil in Combination With Low-Dose Leucovorin in Patients Who Have Undergone Surgery for Colon Cancer	https://clinicaltrials.gov/study/NCT00009737	COMPLETED
NCT00009945	Clodronate With or Without Chemotherapy and/or Hormonal Therapy in Treating Women With Stage I or Stage II Breast Cancer	https://clinicaltrials.gov/study/NCT00009945	COMPLETED
NCT00010439	Phase II Study of Alendronate Sodium in Children With High-Turnover Idiopathic Juvenile Osteoporosis	https://clinicaltrials.gov/study/NCT00010439	COMPLETED
NCT00010803	Ginkgo Biloba Prevention Trial in Older Individuals	https://clinicaltrials.gov/study/NCT00010803	COMPLETED
NCT00012012	Radiation Therapy and Cisplatin With or Without Amifostine for Patients With Stage IIIB or IVA Cervical Cancer	https://clinicaltrials.gov/study/NCT00012012	COMPLETED
NCT00014222	Combination Chemotherapy With or Without Colony-stimulating Factors in Treating Women With Breast Cancer	https://clinicaltrials.gov/study/NCT00014222	COMPLETED
NCT00014495	Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With Advanced Myeloid Cancer	https://clinicaltrials.gov/study/NCT00014495	COMPLETED
NCT00014911	Islet Transplantation for Type 1 Diabetes	https://clinicaltrials.gov/study/NCT00014911	COMPLETED
NCT00016718	Safety and Effectiveness of Emtricitabine, Efavirenz, and Didanosine in HIV Infected Children Who Have Taken Few or No Anti-HIV Drugs	https://clinicaltrials.gov/study/NCT00016718	COMPLETED
NCT00016913	Chemotherapy, Hormone Therapy, and Radiation Therapy in Treating Patients With Locally Advanced Prostate Cancer	https://clinicaltrials.gov/study/NCT00016913	COMPLETED
NCT00017563	Combination Chemotherapy Followed by Surgery in Treating Patients With Localized Prostate Cancer	https://clinicaltrials.gov/study/NCT00017563	COMPLETED
NCT00018031	Peginterferon Alpha-2b And Ribavirin to Treat Hepatitis C in HIV-Infected Patients	https://clinicaltrials.gov/study/NCT00018031	COMPLETED
NCT00021255	Combination Chemotherapy With or Without Trastuzumab in Treating Women With Breast Cancer	https://clinicaltrials.gov/study/NCT00021255	COMPLETED
NCT00022516	Low-dose Oral Cyclophosphamide and Methotrexate Maintenance for Hormone Receptor-negative Early Breast Cancer	https://clinicaltrials.gov/study/NCT00022516	COMPLETED
NCT00022672	A Study to Evaluate the Efficacy and Safety of Herceptin® (Trastuzumab) in Combination With Arimidex® (Anastrozole) an Aromatase Inhibitor Compared to Arimidex® Alone in Patients With Metastatic Breast Cancer	https://clinicaltrials.gov/study/NCT00022672	COMPLETED
NCT00022698	Capecitabine and Irinotecan in Treating Patients With Locally Advanced, Recurrent, or Metastatic Colorectal Cancer	https://clinicaltrials.gov/study/NCT00022698	COMPLETED
NCT00022763	T-20 Plus a Selected Anti-HIV Treatment in HIV-Infected Children and Adolescents	https://clinicaltrials.gov/study/NCT00022763	COMPLETED
NCT00023673	Radiation Therapy Combined With Paclitaxel and Carboplatin in Treating Patients With Stage III Non-Small Cell Lung Cancer	https://clinicaltrials.gov/study/NCT00023673	COMPLETED
NCT00024102	Comparison of Combination Chemotherapy Regimens in Treating Older Women Who Have Undergone Surgery for Breast Cancer	https://clinicaltrials.gov/study/NCT00024102	COMPLETED
NCT00024258	Arsenic Trioxide in Treating Patients With Advanced Neuroblastoma or Other Childhood Solid Tumors	https://clinicaltrials.gov/study/NCT00024258	COMPLETED
NCT00026208	Combination Chemotherapy Plus Low-Dose Radiation Therapy in Treating Patients With Stage I or Stage IIA Hodgkin's Lymphoma	https://clinicaltrials.gov/study/NCT00026208	COMPLETED
NCT00027378	Pharmacological Intervention Project (Fluoxetine)	https://clinicaltrials.gov/study/NCT00027378	COMPLETED
NCT00027560	Melphalan, Fludarabine, and Alemtuzumab Followed by Peripheral Stem Cell Transplant in Treating Patients With Hematologic Cancer	https://clinicaltrials.gov/study/NCT00027560	COMPLETED
NCT00027846	Observation or Radiation Therapy and/or Chemotherapy and Second Surgery in Treating Children Who Have Undergone Surgery for Ependymoma	https://clinicaltrials.gov/study/NCT00027846	COMPLETED
NCT00028002	Neoadjuvant and Adjuvant Imatinib Mesylate in Treating Patients With Primary or Recurrent Malignant Gastrointestinal Stromal Tumor	https://clinicaltrials.gov/study/NCT00028002	COMPLETED
NCT00028769	S0032, Combination Chemotherapy Plus Hormone Therapy in Treating Patients With Metastatic Prostate Cancer	https://clinicaltrials.gov/study/NCT00028769	COMPLETED
NCT00031447	Acyclovir Herpes Simplex Virus (HSV) Skin, Eye, and Mouth	https://clinicaltrials.gov/study/NCT00031447	COMPLETED
NCT00031460	Acyclovir for Herpes Infections Involving the Central Nervous System in Neonates	https://clinicaltrials.gov/study/NCT00031460	COMPLETED
NCT00032487	Glycemic Control and Complications in Diabetes Mellitus Type 2 (VADT)	https://clinicaltrials.gov/study/NCT00032487	COMPLETED
NCT00033371	Celecoxib With or Without Eflornithine in Preventing Colorectal Cancer in Patients With Familial Adenomatous Polyposis	https://clinicaltrials.gov/study/NCT00033371	COMPLETED
NCT00033514	Trastuzumab and Erlotinib as First-Line Therapy in Treating Women With Metastatic Breast Cancer Associated With HER2/Neu Overexpression	https://clinicaltrials.gov/study/NCT00033514	COMPLETED
NCT00033540	S0202 Gemcitabine and Capecitabine for Unresectable Locally Advanced Metastatic Gallbladder Cancer or Cholangiocarcinoma	https://clinicaltrials.gov/study/NCT00033540	COMPLETED
NCT00033657	Radiation Therapy and Chemotherapy Before and After Surgery in Treating Patients With Esophageal Cancer	https://clinicaltrials.gov/study/NCT00033657	COMPLETED
NCT00035555	Study Comparing the Safety and Efficacy of Belatacept With That of Cyclosporine in Patients With a Transplanted Kidney	https://clinicaltrials.gov/study/NCT00035555	COMPLETED
NCT00036270	Randomized Phase III Study Of Exemestane (Aromasin) For 5 Years Versus Tamoxifen for 2.5 to 3 Years Followed By Exemestane	https://clinicaltrials.gov/study/NCT00036270	COMPLETED
NCT00038103	Open-Label Study Of Exemestane With Or Without Celecoxib In Postmenopausal Women With ABC Having Progressed On Tamoxifen	https://clinicaltrials.gov/study/NCT00038103	COMPLETED
NCT00038467	Randomized Trial Of Exemestane Versus Continued Tamoxifen In Postmenopausal Women With Early Breast Cancer	https://clinicaltrials.gov/study/NCT00038467	COMPLETED
NCT00038610	Study of Hyper-CVAD Plus Imatinib Mesylate for Philadelphia-Positive Acute Lymphocytic Leukemia	https://clinicaltrials.gov/study/NCT00038610	COMPLETED
NCT00038675	Therapy of HES, PV, Atypical Chronic Myelocytic Leukemia (CML) or Chronic Myelomonocytic Leukemia (CMML), and Mastocytosis With Imatinib Mesylate	https://clinicaltrials.gov/study/NCT00038675	COMPLETED
NCT00038948	Study Comparing Conversion to Sirolimus vs. Continued Use of Calcineurin Inhibitors in Kidney Transplant Recipients	https://clinicaltrials.gov/study/NCT00038948	COMPLETED
NCT00039130	Rituximab, Chemotherapy, and Filgrastim in Treating Patients With Burkitt's Lymphoma or Burkitt's Leukemia	https://clinicaltrials.gov/study/NCT00039130	COMPLETED
NCT00039195	Chemotherapy and Rituximab With or Without Total-Body Irradiation and Peripheral Stem Cell Transplant in Treating Patients With Lymphoma	https://clinicaltrials.gov/study/NCT00039195	COMPLETED
NCT00039871	PEG-Intron Plus Rebetol Treatment of Chronic Hepatitis C Subjects Who Failed Response to Alpha-Interferon Plus Ribavirin (Study P02370)	https://clinicaltrials.gov/study/NCT00039871	COMPLETED
NCT00040365	Amifostine to Protect the Rectum During External Beam Radiotherapy for Prostate Cancer	https://clinicaltrials.gov/study/NCT00040365	COMPLETED
NCT00040664	A Clinical Study Of An Investigational Regimen Including Marketed HIV Drugs In HIV-1 Pediatric Subjects Ages 2-18 Years	https://clinicaltrials.gov/study/NCT00040664	COMPLETED
NCT00040937	S0204 Thalidomide, Chemotherapy, and Peripheral Stem Cell Transplant in Treating Patients With Multiple Myeloma	https://clinicaltrials.gov/study/NCT00040937	COMPLETED
NCT00041067	S0215 Trastuzumab, Docetaxel, Vinorelbine, and Filgrastim in Treating Women With Stage IV Breast Cancer	https://clinicaltrials.gov/study/NCT00041067	COMPLETED
NCT00041119	Four Versus Six Cycles of Cyclophosphamide/Doxorubicin or Paclitaxel in Adjuvant Breast Cancer	https://clinicaltrials.gov/study/NCT00041119	COMPLETED
NCT00041132	S0213 Chemotherapy Plus Rituximab in Treating Patients With Mantle Cell Lymphoma	https://clinicaltrials.gov/study/NCT00041132	COMPLETED
NCT00041717	Safety and Efficacy of Oral Fampridine-SR for the Treatment of Spasticity Resulting From Spinal Cord Injury	https://clinicaltrials.gov/study/NCT00041717	COMPLETED
NCT00041938	Warfarin Versus Aspirin in Reduced Cardiac Ejection Fraction (WARCEF) Trial	https://clinicaltrials.gov/study/NCT00041938	COMPLETED
NCT00042224	Electroconvulsive Therapy in Clozapine Refractory Schizophrenia	https://clinicaltrials.gov/study/NCT00042224	COMPLETED
NCT00042289	Pharmacokinetic Study of Antiretroviral Drugs and Related Drugs During and After Pregnancy	https://clinicaltrials.gov/study/NCT00042289	COMPLETED
NCT00042432	Study for Secondary Hyperparathyroidism in Chronic Renal Insufficiency Patients	https://clinicaltrials.gov/study/NCT00042432	COMPLETED
NCT00042939	Irinotecan and Docetaxel With or Without Cetuximab in Treating Patients With Metastatic Pancreatic Cancer	https://clinicaltrials.gov/study/NCT00042939	COMPLETED
NCT00043108	Combination Chemotherapy, Surgery, and Radiation Therapy in Treating Patients With Non-Small Cell Lung Cancer	https://clinicaltrials.gov/study/NCT00043108	COMPLETED
NCT00043186	Determine the Efficacy, Safety and Tolerability of Denosumab (AMG 162) in the Treatment of Postmenopausal Women With Low Bone Mineral Density	https://clinicaltrials.gov/study/NCT00043186	COMPLETED
NCT00043550	Treatments for Depression: Drug Versus Psychotherapy	https://clinicaltrials.gov/study/NCT00043550	COMPLETED
NCT00043979	Stem Cell Transplantation in Patients With High-Risk and Recurrent Pediatric Sarcomas	https://clinicaltrials.gov/study/NCT00043979	COMPLETED
NCT00044005	Safety and Tolerability Study of Drug to Treat Schizophrenia	https://clinicaltrials.gov/study/NCT00044005	COMPLETED
NCT00044044	A Comparison of Study Drug With Placebo and Haloperidol in Patients With Schizophrenia	https://clinicaltrials.gov/study/NCT00044044	COMPLETED
NCT00044512	A Study to Estimate Safety and Efficacy of Sorafenib (BAY43-9006) in the Treatment of Hepatocellular Carcinoma	https://clinicaltrials.gov/study/NCT00044512	COMPLETED
NCT00044655	Switching Medication to Treat Schizophrenia	https://clinicaltrials.gov/study/NCT00044655	COMPLETED
NCT00045032	Herceptin (Trastuzumab) in Treating Women With Human Epidermal Growth Factor Receptor (HER) 2-Positive Primary Breast Cancer	https://clinicaltrials.gov/study/NCT00045032	COMPLETED
NCT00045162	S0124: Cisplatin Combined With Irinotecan or Etoposide For Extensive-Stage Small Cell Lung Cancer	https://clinicaltrials.gov/study/NCT00045162	COMPLETED
NCT00045305	Reduced-Intensity Regimen Before Donor Bone Marrow Transplant in Treating Patients With Myelodysplastic Syndromes	https://clinicaltrials.gov/study/NCT00045305	COMPLETED
NCT00045630	S0219, Combination Chemotherapy Followed By Observation or Surgery in Patients With Stage II or Stage III Cancer of the Urothelium	https://clinicaltrials.gov/study/NCT00045630	COMPLETED
NCT00045942	PKC412 in Participants With Acute Myeloid Leukemia or With Myelodysplastic Syndrome (CPKC412A2104 Core); and PKC412 in Participants With Acute Myeloid Leukemia or With Myelodysplastic Syndrome With Either Wild Type or Mutated FMS-like Tyrosine Kinase 3 (FLT3) (CPKC412A2104E1 and CPKC412A2104E2)	https://clinicaltrials.gov/study/NCT00045942	COMPLETED
NCT00046839	Celecoxib and Radiation Therapy in Treating Patients With Locally Advanced Non-Small Cell Lung Cancer	https://clinicaltrials.gov/study/NCT00046839	COMPLETED
NCT00046930	Daunorubicin & Cytarabine +/- Zosuquidar inTreating Older Patients With Newly Diagnosed Acute Myeloid Leukemia or Refractory Anemia	https://clinicaltrials.gov/study/NCT00046930	COMPLETED
NCT00047008	Chemotherapy and Radiation Therapy With or Without Surgery in Treating Patients With Head and Neck Cancer	https://clinicaltrials.gov/study/NCT00047008	COMPLETED
NCT00047320	Neoadjuvant Chemotherapy With or Without Second-Look Surgery Followed by Radiation Therapy With or Without Peripheral Stem Cell Transplantation in Treating Patients With Intracranial Germ Cell Tumors	https://clinicaltrials.gov/study/NCT00047320	COMPLETED
NCT00047879	Phase II Trial of Peginterferon Alpha-2b and Thalidomide in Adults With Recurrent Gliomas	https://clinicaltrials.gov/study/NCT00047879	COMPLETED
NCT00048568	A Phase III Study of Abatacept (BMS-188667) in Patients With Active Rheumatoid Arthritis and Inadequate Response to Methotrexate	https://clinicaltrials.gov/study/NCT00048568	COMPLETED
NCT00048581	Phase III Study of BMS-188667 (CTLA4Ig) in Patients With Rheumatoid Arthritis Who Are Currently Failing Anti-TNF Therapy or Who Have Failed Anti-TNF Therapy in the Past.	https://clinicaltrials.gov/study/NCT00048581	COMPLETED
NCT00048737	Safety and Efficacy of 90Y Zevalin in Nonmyeloablative Transplantation for Lymphoid Malignancies	https://clinicaltrials.gov/study/NCT00048737	COMPLETED
NCT00048815	Drug Therapy to Treat Minor Depression	https://clinicaltrials.gov/study/NCT00048815	COMPLETED
NCT00049257	Paclitaxel and Carboplatin in Treating Patients With Metastatic Prostate Cancer That Has Not Responded to Hormone Therapy	https://clinicaltrials.gov/study/NCT00049257	COMPLETED
NCT00049517	Combination Chemotherapy With or Without Monoclonal Antibody Therapy in Treating Patients With AML Leukemia	https://clinicaltrials.gov/study/NCT00049517	COMPLETED
NCT00050011	Zoledronic Acid - Letrozole Adjuvant Synergy Trial (ZFAST) - Cancer Treatment Related Bone Loss in Postmenopausal Women With Estrogen Receptor Positive and/or Progesterone Receptor Positive Breast Cancer Receiving Adjuvant Hormonal Therapy	https://clinicaltrials.gov/study/NCT00050011	COMPLETED
NCT00050167	Evaluation of Differing Taxanes/Taxane Combinations on the Outcome of Patients With Operable Breast Cancer	https://clinicaltrials.gov/study/NCT00050167	COMPLETED
NCT00050986	Phase I/II Evaluation of Temozolomide and ZARNESTRA (R115777) for Recurrent and Progressive Glioblastoma Multiforme	https://clinicaltrials.gov/study/NCT00050986	COMPLETED
NCT00051311	Modified Stem Cell Transplant Procedure to Treat Patients With Blood and Immune System Cancers	https://clinicaltrials.gov/study/NCT00051311	COMPLETED
NCT00051558	Comparison of Teriparatide With Alendronate for Treating Glucocorticoid-Induced Osteoporosis	https://clinicaltrials.gov/study/NCT00051558	COMPLETED
NCT00051636	Safety and Efficacy Trial With Zoledronic Acid for the Treatment of Paget's Disease of Bone, Including an Extended Observation Period	https://clinicaltrials.gov/study/NCT00051636	COMPLETED
NCT00052078	Child and Adolescent Anxiety Disorders (CAMS)	https://clinicaltrials.gov/study/NCT00052078	COMPLETED
NCT00052429	High-Dose Radiation Therapy Plus Chemotherapy in Treating Patients With Advanced Nose or Throat Cancer	https://clinicaltrials.gov/study/NCT00052429	COMPLETED
NCT00052910	Chemotherapy and Radiation Therapy After Surgery in Treating Patients With Stomach or Esophageal Cancer	https://clinicaltrials.gov/study/NCT00052910	COMPLETED
NCT00053703	Treatment of Early Onset Schizophrenia Spectrum Disorders (TEOSS)	https://clinicaltrials.gov/study/NCT00053703	COMPLETED
NCT00053898	Anastrozole or Tamoxifen in Treating Postmenopausal Women With Ductal Carcinoma in Situ Who Are Undergoing Lumpectomy and Radiation Therapy	https://clinicaltrials.gov/study/NCT00053898	COMPLETED
NCT00053989	NMA Allogeneic Hematopoietic Cell Transplant in Hematologic Cancer/Disorders	https://clinicaltrials.gov/study/NCT00053989	COMPLETED
NCT00054275	Erlotinib Plus Docetaxel in Treating Patients With Stage IV or Recurrent Breast Cancer	https://clinicaltrials.gov/study/NCT00054275	COMPLETED
NCT00054327	Donor Stem Cell Transplant in Treating Patients With Hematologic Cancer	https://clinicaltrials.gov/study/NCT00054327	COMPLETED
NCT00054665	PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma	https://clinicaltrials.gov/study/NCT00054665	COMPLETED
NCT00054691	ZD1839 (Iressa) for Recurrent or Metastatic Squamous Cell Carcinoma of the Skin	https://clinicaltrials.gov/study/NCT00054691	COMPLETED
NCT00055601	Combination Chemotherapy and Radiation Therapy With/Without Surgery In Patients With Stage II/III Bladder Cancer	https://clinicaltrials.gov/study/NCT00055601	COMPLETED
NCT00056160	CC-5013 Plus Dexamethasone Versus Dexamethasone Alone in Previously Treated Subjects With Multiple Myeloma	https://clinicaltrials.gov/study/NCT00056160	COMPLETED
NCT00056407	"""REDUCE"" - A Clinical Research Study To Reduce The Incidence Of Prostate Cancer In Men Who Are At Increased Risk"	https://clinicaltrials.gov/study/NCT00056407	COMPLETED
NCT00056862	Low-Dose Peginterferon and Ribavirin to Treat Chronic Hepatitis C in Patients Infected With HCV Genotype 2 or 3	https://clinicaltrials.gov/study/NCT00056862	COMPLETED
NCT00057681	Study of Outcome and Safety of Lithium, Divalproex and Risperidone for Mania in Children and Adolescents	https://clinicaltrials.gov/study/NCT00057681	COMPLETED
NCT00057785	Radiation Therapy With or Without Chemotherapy in Reducing Mouth Dryness in Patients With Nasopharyngeal Cancer	https://clinicaltrials.gov/study/NCT00057785	COMPLETED
NCT00057876	Gemcitabine With or Without Radiation Therapy in Treating Patients With Pancreatic Cancer	https://clinicaltrials.gov/study/NCT00057876	COMPLETED
NCT00058240	Flavopiridol in Treating Patients With Previously Treated Chronic Lymphocytic Leukemia or Lymphocytic Lymphoma	https://clinicaltrials.gov/study/NCT00058240	COMPLETED
NCT00058422	Rituximab and Combination Chemotherapy Combined With Yttrium Y 90 Ibritumomab Tiuxetan in Treating Older Patients With Previously Untreated B-Cell Lymphoma	https://clinicaltrials.gov/study/NCT00058422	COMPLETED
NCT00058552	A Study to Evaluate the Effect of HER2 Activation on rhuMAb 2C4 (Pertuzumab) in Subjects With Advanced Ovarian Cancer	https://clinicaltrials.gov/study/NCT00058552	COMPLETED
